Postcodes,WasteType,HeavyWaste,PlasterBoard,ToneBag,SelfDispose,SkipSize,BookingDay,Placement
A7 8CX,Construction Waste,No,Yes,No,Yes,5,7,Grass verge
M5 3UE,Construction Waste,No,Yes,No,Yes,5,8,Not sure
CV8W 9RK,Construction Waste,No,Yes,No,Yes,6,22,Private Property
V2 7FX,Construction Waste,No,Yes,No,Yes,6,23,Public Property
A1O 1HC,Construction Waste,No,Yes,No,Yes,6,24,Grass verge
RE7 9QJ,Construction Waste,No,Yes,No,Yes,6,25,Not sure
V4U 7NK,Construction Waste,No,Yes,No,Yes,8,26,Private Property
F1 4JX,Construction Waste,No,Yes,No,Yes,8,27,Public Property
K7 7JT,Construction Waste,No,Yes,No,Yes,8,28,Grass verge
QJ1B 1TF,Construction Waste,No,Yes,No,Yes,8,29,Not sure
TP9 5LB,Construction Waste,No,Yes,No,Yes,10,20,Private Property
X8A 3LA,Construction Waste,No,Yes,No,Yes,10,19,Public Property
W9V 4EO,Construction Waste,No,Yes,No,Yes,10,18,Grass verge
L2S 5NL,Construction Waste,No,Yes,No,Yes,10,17,Not sure
ZR8 4WY,Construction Waste,No,Yes,No,Yes,12,16,Private Property
O7K 6AU,Construction Waste,No,Yes,No,Yes,12,15,Public Property
Y2N 8NC,Construction Waste,No,Yes,No,Yes,12,14,Grass verge
LH3V 9XL,Construction Waste,No,Yes,No,Yes,12,13,Not sure
W6 3RV,Construction Waste,No,Yes,No,Yes,14,12,Private Property
FQ6C 3XL,Construction Waste,No,Yes,No,Yes,14,11,Public Property
L9J 9OP,Construction Waste,No,Yes,No,Yes,14,12,Grass verge
F2 3VO,Construction Waste,No,Yes,No,Yes,14,10,Not sure
B2Y 3GN,Construction Waste,No,Yes,No,Yes,16,9,Private Property
U4O 8DL,Construction Waste,No,Yes,No,Yes,16,8,Public Property
YD7Z 8TM,Construction Waste,No,Yes,No,Yes,16,7,Grass verge
Q9I 2ZJ,Construction Waste,No,Yes,No,Yes,16,6,Not sure
M3 7KM,Construction Waste,No,Yes,No,Yes,20,5,Private Property
II1 3BD,Construction Waste,No,Yes,No,Yes,20,6,Public Property
I6H 8GL,Construction Waste,No,Yes,No,Yes,20,7,Grass verge
M4T 3LK,Construction Waste,No,Yes,No,Yes,20,8,Not sure
LQ5S 6VT,Construction Waste,No,Yes,No,Yes,40,22,Private Property
QU8 1YW,Construction Waste,No,Yes,No,Yes,40,23,Public Property
L3S 7XT,Construction Waste,No,Yes,No,Yes,40,24,Grass verge
FC4 7HV,Construction Waste,No,Yes,No,Yes,40,25,Not sure
E6D 2IV,Construction Waste,No,Yes,No,No,4,26,Private Property
NY4J 5WK,Construction Waste,No,Yes,No,No,4,27,Public Property
CC5 9MT,Construction Waste,No,Yes,No,No,4,28,Grass verge
XF6B 7SB,Construction Waste,No,Yes,No,No,4,29,Not sure
CG3 3DL,Construction Waste,No,Yes,No,No,5,20,Private Property
VR3S 6BF,Construction Waste,No,Yes,No,No,5,19,Public Property
EF9 0MM,Construction Waste,No,Yes,No,No,5,18,Grass verge
YB6B 4KO,Construction Waste,No,Yes,No,No,5,17,Not sure
HL3 9VH,Construction Waste,No,Yes,No,No,6,16,Private Property
DS7 6BG,Construction Waste,No,Yes,No,No,6,15,Public Property
XD4 0TP,Construction Waste,No,Yes,No,No,6,14,Grass verge
AG2N 1JK,Construction Waste,No,Yes,No,No,6,13,Not sure
B2J 8DF,Construction Waste,No,Yes,No,No,8,12,Private Property
H8G 4GE,Construction Waste,No,Yes,No,No,8,11,Public Property
JG6A 8EU,Construction Waste,No,Yes,No,No,8,12,Grass verge
P1Z 7GL,Construction Waste,No,Yes,No,No,8,10,Not sure
L2L 3EL,Construction Waste,No,Yes,No,No,10,9,Private Property
J3K 5XJ,Construction Waste,No,Yes,No,No,10,8,Public Property
I5 9NP,Construction Waste,No,Yes,No,No,10,7,Grass verge
XA8A 6MG,Construction Waste,No,Yes,No,No,10,6,Not sure
GC6Y 8MU,Construction Waste,No,Yes,No,No,12,5,Private Property
W2V 7MB,Construction Waste,No,Yes,No,No,12,6,Public Property
QA3R 7ZJ,Construction Waste,No,Yes,No,No,12,7,Grass verge
C5 9WV,Construction Waste,No,Yes,No,No,12,8,Not sure
F5 5LP,Construction Waste,No,Yes,No,No,14,22,Private Property
WZ8E 3DM,Construction Waste,No,Yes,No,No,14,23,Public Property
RF4 3LY,Construction Waste,No,Yes,No,No,14,24,Grass verge
QY8 9HU,Construction Waste,No,Yes,No,No,14,25,Not sure
O9 7GL,Construction Waste,No,Yes,No,No,16,26,Private Property
UE5Y 9SD,Construction Waste,No,Yes,No,No,16,27,Public Property
NN6K 0WL,Construction Waste,No,Yes,No,No,16,28,Grass verge
J2 0HJ,Construction Waste,No,Yes,No,No,16,29,Not sure
H6 2FF,Construction Waste,No,Yes,No,No,20,20,Private Property
V6L 8UP,Construction Waste,No,Yes,No,No,20,19,Public Property
TF9I 8HY,Construction Waste,No,Yes,No,No,20,18,Grass verge
D5W 5SU,Construction Waste,No,Yes,No,No,20,17,Not sure
Y2 8OV,Construction Waste,No,Yes,No,No,40,16,Private Property
UL8 8UK,Construction Waste,No,Yes,No,No,40,15,Public Property
W8 1HP,Construction Waste,No,Yes,No,No,40,14,Grass verge
A2 5JP,Construction Waste,No,Yes,No,No,40,13,Not sure
K7Z 9EF,Construction Waste,No,No,No,No,4,12,Private Property
Y9 3OC,Construction Waste,No,No,No,No,4,11,Public Property
U5 9DJ,Construction Waste,No,No,No,No,4,12,Grass verge
XA3 4UA,Construction Waste,No,No,No,No,4,10,Not sure
A8B 1XQ,Construction Waste,No,No,No,No,5,9,Private Property
Y1X 8CJ,Construction Waste,No,No,No,No,5,8,Public Property
KS1K 6PD,Construction Waste,No,No,No,No,5,7,Grass verge
KZ4B 2GV,Construction Waste,No,No,No,No,5,6,Not sure
XG5U 1DT,Construction Waste,No,No,No,No,6,5,Private Property
M2V 7JM,Construction Waste,No,No,No,No,6,6,Public Property
W1L 1PG,Construction Waste,No,No,No,No,6,7,Grass verge
L4 3NI,Construction Waste,No,No,No,No,6,8,Not sure
Q1D 4GM,Construction Waste,No,No,No,No,8,22,Private Property
LY6F 1NR,Construction Waste,No,No,No,No,8,23,Public Property
OZ2 5UQ,Construction Waste,No,No,No,No,8,24,Grass verge
X2M 4AZ,Construction Waste,No,No,No,No,8,25,Not sure
W5J 1GU,Construction Waste,No,No,No,No,10,26,Private Property
R6 4DT,Construction Waste,No,No,No,No,10,27,Public Property
MI1 8IB,Construction Waste,No,No,No,No,10,28,Grass verge
Q8E 4WU,Construction Waste,No,No,No,No,10,29,Not sure
H7X 6TM,Construction Waste,No,No,No,No,12,20,Private Property
L9O 8EB,Construction Waste,No,No,No,No,12,19,Public Property
GF1 2WD,Construction Waste,No,No,No,No,12,18,Grass verge
ZB2P 0CC,Construction Waste,No,No,No,No,12,17,Not sure
M9 0GH,Construction Waste,No,No,No,No,14,16,Private Property
XM9 4ED,Construction Waste,No,No,No,No,14,15,Public Property
A7 8CX,Construction Waste,No,No,No,No,14,14,Grass verge
M5 3UE,Construction Waste,No,No,No,No,14,13,Not sure
CV8W 9RK,Construction Waste,No,No,No,No,16,12,Private Property
V2 7FX,Construction Waste,No,No,No,No,16,11,Public Property
A1O 1HC,Construction Waste,No,No,No,No,16,12,Grass verge
RE7 9QJ,Construction Waste,No,No,No,No,16,10,Not sure
V4U 7NK,Construction Waste,No,No,No,No,20,9,Private Property
F1 4JX,Construction Waste,No,No,No,No,20,8,Public Property
K7 7JT,Construction Waste,No,No,No,No,20,7,Grass verge
QJ1B 1TF,Construction Waste,No,No,No,No,20,6,Not sure
TP9 5LB,Construction Waste,No,No,No,No,40,5,Private Property
X8A 3LA,Construction Waste,No,No,No,No,40,6,Public Property
W9V 4EO,Construction Waste,No,No,No,No,40,7,Grass verge
L2S 5NL,Construction Waste,No,No,No,No,40,8,Not sure
ZR8 4WY,Household Waste,Yes,Yes,Yes,No,4,22,Private Property
O7K 6AU,Household Waste,Yes,Yes,Yes,No,4,23,Public Property
Y2N 8NC,Household Waste,Yes,Yes,Yes,No,4,24,Grass verge
LH3V 9XL,Household Waste,Yes,Yes,Yes,No,4,25,Not sure
W6 3RV,Household Waste,Yes,Yes,Yes,No,5,26,Private Property
FQ6C 3XL,Household Waste,Yes,Yes,Yes,No,5,27,Public Property
L9J 9OP,Household Waste,Yes,Yes,Yes,No,5,28,Grass verge
F2 3VO,Household Waste,Yes,Yes,Yes,No,5,29,Not sure
B2Y 3GN,Household Waste,Yes,Yes,Yes,No,6,20,Private Property
U4O 8DL,Household Waste,Yes,Yes,Yes,No,6,19,Public Property
YD7Z 8TM,Household Waste,Yes,Yes,Yes,No,6,18,Grass verge
Q9I 2ZJ,Household Waste,Yes,Yes,Yes,No,6,17,Not sure
M3 7KM,Household Waste,Yes,Yes,Yes,No,8,16,Private Property
II1 3BD,Household Waste,Yes,Yes,Yes,No,8,15,Public Property
I6H 8GL,Household Waste,Yes,Yes,Yes,No,8,14,Grass verge
M4T 3LK,Household Waste,Yes,Yes,Yes,No,8,13,Not sure
LQ5S 6VT,Household Waste,Yes,Yes,No,Yes,4,12,Private Property
QU8 1YW,Household Waste,Yes,Yes,No,Yes,4,11,Public Property
L3S 7XT,Household Waste,Yes,Yes,No,Yes,4,12,Grass verge
FC4 7HV,Household Waste,Yes,Yes,No,Yes,4,10,Not sure
E6D 2IV,Household Waste,Yes,Yes,No,Yes,5,9,Private Property
NY4J 5WK,Household Waste,Yes,Yes,No,Yes,5,8,Public Property
CC5 9MT,Household Waste,Yes,Yes,No,Yes,5,7,Grass verge
XF6B 7SB,Household Waste,Yes,Yes,No,Yes,5,6,Not sure
CG3 3DL,Household Waste,Yes,Yes,No,Yes,6,5,Private Property
VR3S 6BF,Household Waste,Yes,Yes,No,Yes,6,6,Public Property
EF9 0MM,Household Waste,Yes,Yes,No,Yes,6,7,Grass verge
YB6B 4KO,Household Waste,Yes,Yes,No,Yes,6,8,Not sure
HL3 9VH,Household Waste,Yes,Yes,No,Yes,8,22,Private Property
DS7 6BG,Household Waste,Yes,Yes,No,Yes,8,23,Public Property
XD4 0TP,Household Waste,Yes,Yes,No,Yes,8,24,Grass verge
AG2N 1JK,Household Waste,Yes,Yes,No,Yes,8,25,Not sure
B2J 8DF,Household Waste,Yes,Yes,No,No,4,26,Private Property
H8G 4GE,Household Waste,Yes,Yes,No,No,4,27,Public Property
JG6A 8EU,Household Waste,Yes,Yes,No,No,4,28,Grass verge
P1Z 7GL,Household Waste,Yes,Yes,No,No,4,29,Not sure
L2L 3EL,Household Waste,Yes,Yes,No,No,5,20,Private Property
J3K 5XJ,Household Waste,Yes,Yes,No,No,5,19,Public Property
I5 9NP,Household Waste,Yes,Yes,No,No,5,18,Grass verge
XA8A 6MG,Household Waste,Yes,Yes,No,No,5,17,Not sure
GC6Y 8MU,Household Waste,Yes,Yes,No,No,6,16,Private Property
W2V 7MB,Household Waste,Yes,Yes,No,No,6,15,Public Property
QA3R 7ZJ,Household Waste,Yes,Yes,No,No,6,14,Grass verge
C5 9WV,Household Waste,Yes,Yes,No,No,6,13,Not sure
F5 5LP,Household Waste,Yes,Yes,No,No,8,12,Private Property
WZ8E 3DM,Household Waste,Yes,Yes,No,No,8,11,Public Property
RF4 3LY,Household Waste,Yes,Yes,No,No,8,12,Grass verge
QY8 9HU,Household Waste,Yes,Yes,No,No,8,10,Not sure
O9 7GL,Household Waste,Yes,No,No,No,4,9,Private Property
UE5Y 9SD,Household Waste,Yes,No,No,No,4,8,Public Property
NN6K 0WL,Household Waste,Yes,No,No,No,4,22,Grass verge
J2 0HJ,Household Waste,Yes,No,No,No,4,23,Not sure
H6 2FF,Household Waste,Yes,No,No,No,5,24,Private Property
V6L 8UP,Household Waste,Yes,No,No,No,5,25,Public Property
TF9I 8HY,Household Waste,Yes,No,No,No,5,26,Grass verge
D5W 5SU,Household Waste,Yes,No,No,No,5,27,Not sure
Y2 8OV,Household Waste,Yes,No,No,No,6,28,Private Property
UL8 8UK,Household Waste,Yes,No,No,No,6,29,Public Property
W8 1HP,Household Waste,Yes,No,No,No,6,20,Grass verge
A2 5JP,Household Waste,Yes,No,No,No,6,19,Not sure
K7Z 9EF,Household Waste,Yes,No,No,No,8,18,Private Property
Y9 3OC,Household Waste,Yes,No,No,No,8,17,Public Property
U5 9DJ,Household Waste,Yes,No,No,No,8,16,Grass verge
XA3 4UA,Household Waste,Yes,No,No,No,8,15,Not sure
A8B 1XQ,Household Waste,No,Yes,Yes,No,4,14,Private Property
Y1X 8CJ,Household Waste,No,Yes,Yes,No,4,13,Public Property
KS1K 6PD,Household Waste,No,Yes,Yes,No,4,12,Grass verge
KZ4B 2GV,Household Waste,No,Yes,Yes,No,4,11,Not sure
XG5U 1DT,Household Waste,No,Yes,Yes,No,5,12,Private Property
M2V 7JM,Household Waste,No,Yes,Yes,No,5,10,Public Property
W1L 1PG,Household Waste,No,Yes,Yes,No,5,9,Grass verge
L4 3NI,Household Waste,No,Yes,Yes,No,5,8,Not sure
Q1D 4GM,Household Waste,No,Yes,Yes,No,6,7,Private Property
LY6F 1NR,Household Waste,No,Yes,Yes,No,6,6,Public Property
OZ2 5UQ,Household Waste,No,Yes,Yes,No,6,5,Grass verge
X2M 4AZ,Household Waste,No,Yes,Yes,No,6,6,Not sure
W5J 1GU,Household Waste,No,Yes,Yes,No,8,7,Private Property
R6 4DT,Household Waste,No,Yes,Yes,No,8,8,Public Property
MI1 8IB,Household Waste,No,Yes,Yes,No,8,22,Grass verge
Q8E 4WU,Household Waste,No,Yes,Yes,No,8,23,Not sure
H7X 6TM,Household Waste,No,Yes,Yes,No,10,24,Private Property
L9O 8EB,Household Waste,No,Yes,Yes,No,10,25,Public Property
GF1 2WD,Household Waste,No,Yes,Yes,No,10,26,Grass verge
ZB2P 0CC,Household Waste,No,Yes,Yes,No,10,27,Not sure
M9 0GH,Household Waste,No,Yes,Yes,No,12,28,Private Property
XM9 4ED,Household Waste,No,Yes,Yes,No,12,29,Public Property
A7 8CX,Household Waste,No,Yes,Yes,No,12,20,Grass verge
M5 3UE,Household Waste,No,Yes,Yes,No,12,19,Not sure
CV8W 9RK,Household Waste,No,Yes,Yes,No,14,18,Private Property
V2 7FX,Household Waste,No,Yes,Yes,No,14,17,Public Property
A1O 1HC,Household Waste,No,Yes,Yes,No,14,16,Grass verge
RE7 9QJ,Household Waste,No,Yes,Yes,No,14,15,Not sure
V4U 7NK,Household Waste,No,Yes,Yes,No,16,14,Private Property
F1 4JX,Household Waste,No,Yes,Yes,No,16,13,Public Property
K7 7JT,Household Waste,No,Yes,Yes,No,16,12,Grass verge
QJ1B 1TF,Household Waste,No,Yes,Yes,No,16,11,Not sure
TP9 5LB,Household Waste,No,Yes,Yes,No,20,12,Private Property
X8A 3LA,Household Waste,No,Yes,Yes,No,20,10,Public Property
W9V 4EO,Household Waste,No,Yes,Yes,No,20,9,Grass verge
L2S 5NL,Household Waste,No,Yes,Yes,No,20,8,Not sure
ZR8 4WY,Household Waste,No,Yes,Yes,No,40,7,Private Property
O7K 6AU,Household Waste,No,Yes,Yes,No,40,6,Public Property
Y2N 8NC,Household Waste,No,Yes,Yes,No,40,5,Grass verge
LH3V 9XL,Household Waste,No,Yes,Yes,No,40,6,Not sure
W6 3RV,Household Waste,No,Yes,No,Yes,4,7,Private Property
FQ6C 3XL,Household Waste,No,Yes,No,Yes,4,8,Public Property
L9J 9OP,Household Waste,No,Yes,No,Yes,4,22,Grass verge
F2 3VO,Household Waste,No,Yes,No,Yes,4,23,Not sure
B2Y 3GN,Household Waste,No,Yes,No,Yes,5,24,Private Property
U4O 8DL,Household Waste,No,Yes,No,Yes,5,25,Public Property
YD7Z 8TM,Household Waste,No,Yes,No,Yes,5,26,Grass verge
Q9I 2ZJ,Household Waste,No,Yes,No,Yes,5,27,Not sure
M3 7KM,Household Waste,No,Yes,No,Yes,6,28,Private Property
II1 3BD,Household Waste,No,Yes,No,Yes,6,29,Public Property
I6H 8GL,Household Waste,No,Yes,No,Yes,6,20,Grass verge
M4T 3LK,Household Waste,No,Yes,No,Yes,6,19,Not sure
LQ5S 6VT,Household Waste,No,Yes,No,Yes,8,18,Private Property
QU8 1YW,Household Waste,No,Yes,No,Yes,8,17,Public Property
L3S 7XT,Household Waste,No,Yes,No,Yes,8,16,Grass verge
FC4 7HV,Household Waste,No,Yes,No,Yes,8,15,Not sure
E6D 2IV,Household Waste,No,Yes,No,Yes,10,14,Private Property
NY4J 5WK,Household Waste,No,Yes,No,Yes,10,13,Public Property
CC5 9MT,Household Waste,No,Yes,No,Yes,10,12,Grass verge
XF6B 7SB,Household Waste,No,Yes,No,Yes,10,11,Not sure
CG3 3DL,Household Waste,No,Yes,No,Yes,12,12,Private Property
VR3S 6BF,Household Waste,No,Yes,No,Yes,12,10,Public Property
EF9 0MM,Household Waste,No,Yes,No,Yes,12,9,Grass verge
YB6B 4KO,Household Waste,No,Yes,No,Yes,12,8,Not sure
HL3 9VH,Household Waste,No,Yes,No,Yes,14,22,Private Property
DS7 6BG,Household Waste,No,Yes,No,Yes,14,23,Public Property
XD4 0TP,Household Waste,No,Yes,No,Yes,14,24,Grass verge
AG2N 1JK,Household Waste,No,Yes,No,Yes,14,25,Not sure
B2J 8DF,Household Waste,No,Yes,No,Yes,16,26,Private Property
H8G 4GE,Household Waste,No,Yes,No,Yes,16,27,Public Property
JG6A 8EU,Household Waste,No,Yes,No,Yes,16,28,Grass verge
P1Z 7GL,Household Waste,No,Yes,No,Yes,16,29,Not sure
L2L 3EL,Household Waste,No,Yes,No,Yes,20,20,Private Property
J3K 5XJ,Household Waste,No,Yes,No,Yes,20,19,Public Property
I5 9NP,Household Waste,No,Yes,No,Yes,20,18,Grass verge
XA8A 6MG,Household Waste,No,Yes,No,Yes,20,17,Not sure
GC6Y 8MU,Household Waste,No,Yes,No,Yes,40,16,Private Property
W2V 7MB,Household Waste,No,Yes,No,Yes,40,15,Public Property
QA3R 7ZJ,Household Waste,No,Yes,No,Yes,40,14,Grass verge
C5 9WV,Household Waste,No,Yes,No,Yes,40,13,Not sure
F5 5LP,Household Waste,No,Yes,No,No,4,12,Private Property
WZ8E 3DM,Household Waste,No,Yes,No,No,4,11,Public Property
RF4 3LY,Household Waste,No,Yes,No,No,4,12,Grass verge
QY8 9HU,Household Waste,No,Yes,No,No,4,10,Not sure
O9 7GL,Household Waste,No,Yes,No,No,5,9,Private Property
UE5Y 9SD,Household Waste,No,Yes,No,No,5,8,Public Property
NN6K 0WL,Household Waste,No,Yes,No,No,5,7,Grass verge
J2 0HJ,Household Waste,No,Yes,No,No,5,6,Not sure
H6 2FF,Household Waste,No,Yes,No,No,6,5,Private Property
V6L 8UP,Household Waste,No,Yes,No,No,6,6,Public Property
TF9I 8HY,Household Waste,No,Yes,No,No,6,7,Grass verge
D5W 5SU,Household Waste,No,Yes,No,No,6,22,Not sure
Y2 8OV,Household Waste,No,Yes,No,No,8,23,Private Property
UL8 8UK,Household Waste,No,Yes,No,No,8,24,Public Property
W8 1HP,Household Waste,No,Yes,No,No,8,25,Grass verge
A2 5JP,Household Waste,No,Yes,No,No,8,26,Not sure
K7Z 9EF,Household Waste,No,Yes,No,No,10,27,Private Property
Y9 3OC,Household Waste,No,Yes,No,No,10,28,Public Property
U5 9DJ,Household Waste,No,Yes,No,No,10,29,Grass verge
XA3 4UA,Household Waste,No,Yes,No,No,10,20,Not sure
A8B 1XQ,Household Waste,No,Yes,No,No,12,19,Private Property
Y1X 8CJ,Household Waste,No,Yes,No,No,12,18,Public Property
